label	family	model	claim_line1	what_to_check	assigned	report
card-s17mr2-1024	s17mr2	deepseek/deepseek-v4-flash	RESULT: s17mr2-1024 sha=<cannot read>	FIXED TABLES: cell, rebase, python or pre-read claim against the schema PR or branch at base 7c29513b; hostile-bytes rows Johnny, the rest Emma; codegen, matrix or law: Stella.	Johnny	results/card-s17mr2-1024/RESULT.md
card-s17mr2-1036	s17mr2	-	RESULT: BLOCKED card-s17mr2-1036	FIXED TABLES: cell, rebase, python or pre-read claim against the schema PR or branch at base 7c29513b; hostile-bytes rows Johnny, the rest Emma; codegen, matrix or law: Stella.	Johnny	results/card-s17mr2-1036/RESULT.md
card-s17mr2-1037	s17mr2	qwen/qwen3.7-flash	RESULT: s17mr2-1037 sha=CANNOT READ	FIXED TABLES: cell, rebase, python or pre-read claim against the schema PR or branch at base 7c29513b; hostile-bytes rows Johnny, the rest Emma; codegen, matrix or law: Stella.	Johnny	results/card-s17mr2-1037/RESULT.md
card-s17mr2-1038	s17mr2	deepseek/deepseek-v4-flash	RESULT: s17mr2-1038 sha=7c29513b0e8f	FIXED TABLES: cell, rebase, python or pre-read claim against the schema PR or branch at base 7c29513b; hostile-bytes rows Johnny, the rest Emma; codegen, matrix or law: Stella.	Johnny	results/card-s17mr2-1038/RESULT.md
card-s17mr2-1039	s17mr2	qwen/qwen3.7-flash	RESULT: s17mr2-1039 sha=none	FIXED TABLES: cell, rebase, python or pre-read claim against the schema PR or branch at base 7c29513b; hostile-bytes rows Johnny, the rest Emma; codegen, matrix or law: Stella.	Johnny	results/card-s17mr2-1039/RESULT.md
card-s17mr2-1048	s17mr2	deepseek/deepseek-v4-flash	RESULT: s17mr2-1048 sha=<unreachable>	FIXED TABLES: cell, rebase, python or pre-read claim against the schema PR or branch at base 7c29513b; hostile-bytes rows Johnny, the rest Emma; codegen, matrix or law: Stella.	Johnny	results/card-s17mr2-1048/RESULT.md
card-s17mr2-1055	s17mr2	deepseek/deepseek-v4-flash	RESULT: s17mr2-1055 sha=7c29513b0e8f	FIXED TABLES: cell, rebase, python or pre-read claim against the schema PR or branch at base 7c29513b; hostile-bytes rows Johnny, the rest Emma; codegen, matrix or law: Stella.	Johnny	results/card-s17mr2-1055/RESULT.md
card-s17mr2-1064	s17mr2	-	RESULT: BLOCKED card-s17mr2-1064	FIXED TABLES: cell, rebase, python or pre-read claim against the schema PR or branch at base 7c29513b; hostile-bytes rows Johnny, the rest Emma; codegen, matrix or law: Stella.	Johnny	results/card-s17mr2-1064/RESULT.md
card-s17mr2-1069	s17mr2	-	RESULT: BLOCKED card-s17mr2-1069	FIXED TABLES: cell, rebase, python or pre-read claim against the schema PR or branch at base 7c29513b; hostile-bytes rows Johnny, the rest Emma; codegen, matrix or law: Stella.	Johnny	results/card-s17mr2-1069/RESULT.md
card-s17mr2-1072	s17mr2	qwen/qwen3.7-flash	RESULT: s17mr2-1072 sha=CANNOT_READ	FIXED TABLES: cell, rebase, python or pre-read claim against the schema PR or branch at base 7c29513b; hostile-bytes rows Johnny, the rest Emma; codegen, matrix or law: Stella.	Johnny	results/card-s17mr2-1072/RESULT.md
card-s17mr2-1101	s17mr2	-	RESULT: BLOCKED card-s17mr2-1101	FIXED TABLES: cell, rebase, python or pre-read claim against the schema PR or branch at base 7c29513b; hostile-bytes rows Johnny, the rest Emma; codegen, matrix or law: Stella.	Johnny	results/card-s17mr2-1101/RESULT.md
card-s17mr2-1102	s17mr2	deepseek/deepseek-v4-flash	RESULT: s17mr2-1102 sha=7c29513b0e8f	FIXED TABLES: cell, rebase, python or pre-read claim against the schema PR or branch at base 7c29513b; hostile-bytes rows Johnny, the rest Emma; codegen, matrix or law: Stella.	Johnny	results/card-s17mr2-1102/RESULT.md
card-s17mr2-1315	s17mr2	-	RESULT: BLOCKED card-s17mr2-1315	FIXED TABLES: cell, rebase, python or pre-read claim against the schema PR or branch at base 7c29513b; hostile-bytes rows Johnny, the rest Emma; codegen, matrix or law: Stella.	Johnny	results/card-s17mr2-1315/RESULT.md
card-s17pr-1335	s17pr	-	RESULT: BLOCKED card-s17pr-1335	FIXED TABLES: cell, rebase, python or pre-read claim against the schema PR or branch at base 7c29513b; hostile-bytes rows Johnny, the rest Emma; codegen, matrix or law: Stella.	Johnny	results/card-s17pr-1335/RESULT.md
card-s17pr-1337	s17pr	-	RESULT: BLOCKED card-s17pr-1337	FIXED TABLES: cell, rebase, python or pre-read claim against the schema PR or branch at base 7c29513b; hostile-bytes rows Johnny, the rest Emma; codegen, matrix or law: Stella.	Johnny	results/card-s17pr-1337/RESULT.md
card-s17pr2-1330	s17pr2	deepseek/deepseek-v4-flash	RESULT: s17pr2-1330 sha=7c29513b0e8f	FIXED TABLES: cell, rebase, python or pre-read claim against the schema PR or branch at base 7c29513b; hostile-bytes rows Johnny, the rest Emma; codegen, matrix or law: Stella.	Johnny	results/card-s17pr2-1330/RESULT.md
card-s17pr2-1332	s17pr2	qwen/qwen3.7-flash	RESULT: s17pr2-1332 sha=CANNOT VERIFY	FIXED TABLES: cell, rebase, python or pre-read claim against the schema PR or branch at base 7c29513b; hostile-bytes rows Johnny, the rest Emma; codegen, matrix or law: Stella.	Johnny	results/card-s17pr2-1332/RESULT.md
card-s17pr2-1333	s17pr2	deepseek/deepseek-v4-flash	RESULT: s17pr2-1333 sha=<unavailable>	FIXED TABLES: cell, rebase, python or pre-read claim against the schema PR or branch at base 7c29513b; hostile-bytes rows Johnny, the rest Emma; codegen, matrix or law: Stella.	Johnny	results/card-s17pr2-1333/RESULT.md
card-s17pr2-1336	s17pr2	deepseek-v4-flash	RESULT: s17pr2-1336 sha=7c29513b0e8f	FIXED TABLES: cell, rebase, python or pre-read claim against the schema PR or branch at base 7c29513b; hostile-bytes rows Johnny, the rest Emma; codegen, matrix or law: Stella.	Johnny	results/card-s17pr2-1336/RESULT.md
card-s17pr2-1337	s17pr2	qwen/qwen3.7-flash	RESULT: s17pr2-1337 sha=7c29513b0e8f42f457189d1bec23e1de475d4ed8	FIXED TABLES: cell, rebase, python or pre-read claim against the schema PR or branch at base 7c29513b; hostile-bytes rows Johnny, the rest Emma; codegen, matrix or law: Stella.	Johnny	results/card-s17pr2-1337/RESULT.md
card-s17pr2-1355	s17pr2	qwen/qwen3.7-flash	RESULT: s17pr2-1355 sha=CANNOT READ	FIXED TABLES: cell, rebase, python or pre-read claim against the schema PR or branch at base 7c29513b; hostile-bytes rows Johnny, the rest Emma; codegen, matrix or law: Stella.	Johnny	results/card-s17pr2-1355/RESULT.md
card-s17pr2-1356	s17pr2	deepseek/deepseek-v4-flash	RESULT: s17pr2-1356 sha=unreachable	FIXED TABLES: cell, rebase, python or pre-read claim against the schema PR or branch at base 7c29513b; hostile-bytes rows Johnny, the rest Emma; codegen, matrix or law: Stella.	Johnny	results/card-s17pr2-1356/RESULT.md
card-s17pr2-1357	s17pr2	qwen/qwen3.7-flash	RESULT: s17pr2-1357 sha=7c29513b0e8f42f457189d1bec23e1de475d4ed8	FIXED TABLES: cell, rebase, python or pre-read claim against the schema PR or branch at base 7c29513b; hostile-bytes rows Johnny, the rest Emma; codegen, matrix or law: Stella.	Johnny	results/card-s17pr2-1357/RESULT.md
card-s17pr2-1370	s17pr2	deepseek/deepseek-v4-flash	RESULT: s17pr2-1370 sha=<unreachable>	FIXED TABLES: cell, rebase, python or pre-read claim against the schema PR or branch at base 7c29513b; hostile-bytes rows Johnny, the rest Emma; codegen, matrix or law: Stella.	Johnny	results/card-s17pr2-1370/RESULT.md
card-s17pr2-1371	s17pr2	-	RESULT: BLOCKED card-s17pr2-1371	FIXED TABLES: cell, rebase, python or pre-read claim against the schema PR or branch at base 7c29513b; hostile-bytes rows Johnny, the rest Emma; codegen, matrix or law: Stella.	Johnny	results/card-s17pr2-1371/RESULT.md
card-s17pr2-1372	s17pr2	qwen/qwen3.7-flash	RESULT: s17pr2-1372 sha=CANNOT_READ	FIXED TABLES: cell, rebase, python or pre-read claim against the schema PR or branch at base 7c29513b; hostile-bytes rows Johnny, the rest Emma; codegen, matrix or law: Stella.	Johnny	results/card-s17pr2-1372/RESULT.md
card-s17pr2-1373	s17pr2	deepseek-v4-flash	RESULT: s17pr2-1373 sha=7c29513b0e8f	FIXED TABLES: cell, rebase, python or pre-read claim against the schema PR or branch at base 7c29513b; hostile-bytes rows Johnny, the rest Emma; codegen, matrix or law: Stella.	Johnny	results/card-s17pr2-1373/RESULT.md
card-s17pr2-948	s17pr2	deepseek/deepseek-v4-flash	RESULT: s17pr2-948 sha=7c29513b0e8f	FIXED TABLES: cell, rebase, python or pre-read claim against the schema PR or branch at base 7c29513b; hostile-bytes rows Johnny, the rest Emma; codegen, matrix or law: Stella.	Johnny	results/card-s17pr2-948/RESULT.md
card-s17pr2-962	s17pr2	-	RESULT: BLOCKED card-s17pr2-962	FIXED TABLES: cell, rebase, python or pre-read claim against the schema PR or branch at base 7c29513b; hostile-bytes rows Johnny, the rest Emma; codegen, matrix or law: Stella.	Johnny	results/card-s17pr2-962/RESULT.md
card-s17pr2-968	s17pr2	deepseek-v4-flash	RESULT: s17pr2-968 sha=7c29513b0e8f	FIXED TABLES: cell, rebase, python or pre-read claim against the schema PR or branch at base 7c29513b; hostile-bytes rows Johnny, the rest Emma; codegen, matrix or law: Stella.	Johnny	results/card-s17pr2-968/RESULT.md
card-s17pr2-969	s17pr2	-	RESULT: BLOCKED card-s17pr2-969	FIXED TABLES: cell, rebase, python or pre-read claim against the schema PR or branch at base 7c29513b; hostile-bytes rows Johnny, the rest Emma; codegen, matrix or law: Stella.	Johnny	results/card-s17pr2-969/RESULT.md
card-s17pr2-973	s17pr2	deepseek/deepseek-v4-flash	RESULT: s17pr2-973 sha=7c29513b0e8f	FIXED TABLES: cell, rebase, python or pre-read claim against the schema PR or branch at base 7c29513b; hostile-bytes rows Johnny, the rest Emma; codegen, matrix or law: Stella.	Johnny	results/card-s17pr2-973/RESULT.md
card-s17pr2-981	s17pr2	-	RESULT: BLOCKED card-s17pr2-981	FIXED TABLES: cell, rebase, python or pre-read claim against the schema PR or branch at base 7c29513b; hostile-bytes rows Johnny, the rest Emma; codegen, matrix or law: Stella.	Johnny	results/card-s17pr2-981/RESULT.md
card-s17pyf-c12	s17pyf	qwen/qwen3.7-flash	RESULT: s17pyf-c12 sha=7c29513b0e8f	FIXED TABLES: cell, rebase, python or pre-read claim against the schema PR or branch at base 7c29513b; hostile-bytes rows Johnny, the rest Emma; codegen, matrix or law: Stella.	Johnny	results/card-s17pyf-c12/RESULT.md
card-s17pyf-c13	s17pyf	deepseek-v4-flash	RESULT: s17pyf-c13 sha=7c29513b0e8f	FIXED TABLES: cell, rebase, python or pre-read claim against the schema PR or branch at base 7c29513b; hostile-bytes rows Johnny, the rest Emma; codegen, matrix or law: Stella.	Johnny	results/card-s17pyf-c13/RESULT.md
card-s17pyf-c5	s17pyf	qwen/qwen3.7-flash	RESULT: s17pyf-c5 sha=7c29513b0e8f42f457189d1bec23e1de475d4ed8	FIXED TABLES: cell, rebase, python or pre-read claim against the schema PR or branch at base 7c29513b; hostile-bytes rows Johnny, the rest Emma; codegen, matrix or law: Stella.	Johnny	results/card-s17pyf-c5/RESULT.md
card-s17pyf-c7	s17pyf	deepseek-v4-flash	RESULT: s17pyf-c7 sha=7c29513b0e8f	FIXED TABLES: cell, rebase, python or pre-read claim against the schema PR or branch at base 7c29513b; hostile-bytes rows Johnny, the rest Emma; codegen, matrix or law: Stella.	Johnny	results/card-s17pyf-c7/RESULT.md
card-s17pyf-c8	s17pyf	deepseek-v4-flash	RESULT: s17pyf-c8 sha=7c29513b0e8f	FIXED TABLES: cell, rebase, python or pre-read claim against the schema PR or branch at base 7c29513b; hostile-bytes rows Johnny, the rest Emma; codegen, matrix or law: Stella.	Johnny	results/card-s17pyf-c8/RESULT.md
card-s17pyf-c9	s17pyf	deepseek/deepseek-v4-flash	RESULT: s17pyf-c9 sha=<no sha - no commits>	FIXED TABLES: cell, rebase, python or pre-read claim against the schema PR or branch at base 7c29513b; hostile-bytes rows Johnny, the rest Emma; codegen, matrix or law: Stella.	Johnny	results/card-s17pyf-c9/RESULT.md
card-s17pyf-e3	s17pyf	deepseek-v4-flash	RESULT: s17pyf-e3 sha=7c29513b0e8f	FIXED TABLES: cell, rebase, python or pre-read claim against the schema PR or branch at base 7c29513b; hostile-bytes rows Johnny, the rest Emma; codegen, matrix or law: Stella.	Johnny	results/card-s17pyf-e3/RESULT.md
card-s17pyf-e4	s17pyf	qwen/qwen3.7-flash	# RESULT: s17pyf-e4 sha=7c29513b0e8f	FIXED TABLES: cell, rebase, python or pre-read claim against the schema PR or branch at base 7c29513b; hostile-bytes rows Johnny, the rest Emma; codegen, matrix or law: Stella.	Johnny	results/card-s17pyf-e4/RESULT.md
card-s17pyf-f10	s17pyf	deepseek-v4-flash	RESULT: s17pyf-f10 sha=7c29513b0e8f	FIXED TABLES: cell, rebase, python or pre-read claim against the schema PR or branch at base 7c29513b; hostile-bytes rows Johnny, the rest Emma; codegen, matrix or law: Stella.	Johnny	results/card-s17pyf-f10/RESULT.md
card-s17pyf-f11	s17pyf	deepseek/deepseek-v4-flash	RESULT: s17pyf-f11 sha=7c29513b0e8f	FIXED TABLES: cell, rebase, python or pre-read claim against the schema PR or branch at base 7c29513b; hostile-bytes rows Johnny, the rest Emma; codegen, matrix or law: Stella.	Johnny	results/card-s17pyf-f11/RESULT.md
card-s17pyf-f3	s17pyf	qwen/qwen3.7-flash	RESULT: s17pyf-f3 sha=7c29513b	FIXED TABLES: cell, rebase, python or pre-read claim against the schema PR or branch at base 7c29513b; hostile-bytes rows Johnny, the rest Emma; codegen, matrix or law: Stella.	Johnny	results/card-s17pyf-f3/RESULT.md
card-s17pyf-f4	s17pyf	deepseek/deepseek-v4-flash	RESULT: s17pyf-f4 sha=<no-commit>	FIXED TABLES: cell, rebase, python or pre-read claim against the schema PR or branch at base 7c29513b; hostile-bytes rows Johnny, the rest Emma; codegen, matrix or law: Stella.	Johnny	results/card-s17pyf-f4/RESULT.md
card-s17pyf-f5	s17pyf	deepseek/deepseek-v4-flash	RESULT: s17pyf-f5 sha=no-commits	FIXED TABLES: cell, rebase, python or pre-read claim against the schema PR or branch at base 7c29513b; hostile-bytes rows Johnny, the rest Emma; codegen, matrix or law: Stella.	Johnny	results/card-s17pyf-f5/RESULT.md
card-s17pyf-f6	s17pyf	qwen/qwen3.7-flash	RESULT: s17pyf-f6 sha=7c29513b0e8f	FIXED TABLES: cell, rebase, python or pre-read claim against the schema PR or branch at base 7c29513b; hostile-bytes rows Johnny, the rest Emma; codegen, matrix or law: Stella.	Johnny	results/card-s17pyf-f6/RESULT.md
card-s17pyf-f8	s17pyf	-	RESULT: BLOCKED card-s17pyf-f8	FIXED TABLES: cell, rebase, python or pre-read claim against the schema PR or branch at base 7c29513b; hostile-bytes rows Johnny, the rest Emma; codegen, matrix or law: Stella.	Johnny	results/card-s17pyf-f8/RESULT.md
card-s17pyf-p4	s17pyf	-	RESULT: BLOCKED card-s17pyf-p4	FIXED TABLES: cell, rebase, python or pre-read claim against the schema PR or branch at base 7c29513b; hostile-bytes rows Johnny, the rest Emma; codegen, matrix or law: Stella.	Johnny	results/card-s17pyf-p4/RESULT.md
card-s17pyf-w1	s17pyf	deepseek-v4-flash	RESULT: s17pyf-w1 sha=7c29513b0e8f	FIXED TABLES: cell, rebase, python or pre-read claim against the schema PR or branch at base 7c29513b; hostile-bytes rows Johnny, the rest Emma; codegen, matrix or law: Stella.	Johnny	results/card-s17pyf-w1/RESULT.md
card-s17pyf-w10	s17pyf	-	RESULT: BLOCKED card-s17pyf-w10	FIXED TABLES: cell, rebase, python or pre-read claim against the schema PR or branch at base 7c29513b; hostile-bytes rows Johnny, the rest Emma; codegen, matrix or law: Stella.	Johnny	results/card-s17pyf-w10/RESULT.md
card-s17pyf-w11	s17pyf	-	RESULT: BLOCKED card-s17pyf-w11	FIXED TABLES: cell, rebase, python or pre-read claim against the schema PR or branch at base 7c29513b; hostile-bytes rows Johnny, the rest Emma; codegen, matrix or law: Stella.	Johnny	results/card-s17pyf-w11/RESULT.md
card-s17pyf-w14	s17pyf	deepseek-v4-flash	RESULT: s17pyf-w14 sha=7c29513b0e8f	FIXED TABLES: cell, rebase, python or pre-read claim against the schema PR or branch at base 7c29513b; hostile-bytes rows Johnny, the rest Emma; codegen, matrix or law: Stella.	Johnny	results/card-s17pyf-w14/RESULT.md
card-s17pyw-c10	s17pyw	qwen/qwen3.7-flash	RESULT: s17pyw-c10 sha=7c29513b (expected from card; could not verify — bundle missing)	FIXED TABLES: cell, rebase, python or pre-read claim against the schema PR or branch at base 7c29513b; hostile-bytes rows Johnny, the rest Emma; codegen, matrix or law: Stella.	Johnny	results/card-s17pyw-c10/RESULT.md
card-s17pyw-c11	s17pyw	-	RESULT: BLOCKED card-s17pyw-c11	FIXED TABLES: cell, rebase, python or pre-read claim against the schema PR or branch at base 7c29513b; hostile-bytes rows Johnny, the rest Emma; codegen, matrix or law: Stella.	Johnny	results/card-s17pyw-c11/RESULT.md
card-s17pyw-c5	s17pyw	deepseek/deepseek-v4-flash	RESULT: s17pyw-c5 sha=NO-COMMITS	FIXED TABLES: cell, rebase, python or pre-read claim against the schema PR or branch at base 7c29513b; hostile-bytes rows Johnny, the rest Emma; codegen, matrix or law: Stella.	Johnny	results/card-s17pyw-c5/RESULT.md
card-s17pyw-c7	s17pyw	-	RESULT: BLOCKED card-s17pyw-c7	FIXED TABLES: cell, rebase, python or pre-read claim against the schema PR or branch at base 7c29513b; hostile-bytes rows Johnny, the rest Emma; codegen, matrix or law: Stella.	Johnny	results/card-s17pyw-c7/RESULT.md
card-s17pyw-c9	s17pyw	qwen/qwen3.7-flash	RESULT: s17pyw-c9 sha=7c29513b0e8f	FIXED TABLES: cell, rebase, python or pre-read claim against the schema PR or branch at base 7c29513b; hostile-bytes rows Johnny, the rest Emma; codegen, matrix or law: Stella.	Johnny	results/card-s17pyw-c9/RESULT.md
card-s17pyw-e5	s17pyw	deepseek/deepseek-v4-flash	RESULT: s17pyw-e5 sha=<no-commits>	FIXED TABLES: cell, rebase, python or pre-read claim against the schema PR or branch at base 7c29513b; hostile-bytes rows Johnny, the rest Emma; codegen, matrix or law: Stella.	Johnny	results/card-s17pyw-e5/RESULT.md
card-s17pyw-e7	s17pyw	qwen/qwen3.7-flash	RESULT: s17pyw-e7 sha=blocked	FIXED TABLES: cell, rebase, python or pre-read claim against the schema PR or branch at base 7c29513b; hostile-bytes rows Johnny, the rest Emma; codegen, matrix or law: Stella.	Johnny	results/card-s17pyw-e7/RESULT.md
card-s17pyw-e9	s17pyw	deepseek-v4-flash	RESULT: s17pyw-e9 sha=7c29513b0e8f	FIXED TABLES: cell, rebase, python or pre-read claim against the schema PR or branch at base 7c29513b; hostile-bytes rows Johnny, the rest Emma; codegen, matrix or law: Stella.	Johnny	results/card-s17pyw-e9/RESULT.md
card-s17pyw-f1	s17pyw	deepseek/deepseek-v4-flash	RESULT: s17pyw-f1 sha=???	FIXED TABLES: cell, rebase, python or pre-read claim against the schema PR or branch at base 7c29513b; hostile-bytes rows Johnny, the rest Emma; codegen, matrix or law: Stella.	Johnny	results/card-s17pyw-f1/RESULT.md
card-s17pyw-w13	s17pyw	deepseek/deepseek-v4-flash	RESULT: s17pyw-w13 sha=UNREACHABLE	FIXED TABLES: cell, rebase, python or pre-read claim against the schema PR or branch at base 7c29513b; hostile-bytes rows Johnny, the rest Emma; codegen, matrix or law: Stella.	Johnny	results/card-s17pyw-w13/RESULT.md
card-s17pyw-w15	s17pyw	qwen/qwen3.7-flash	RESULT: s17pyw-w15 sha=7c29513b	FIXED TABLES: cell, rebase, python or pre-read claim against the schema PR or branch at base 7c29513b; hostile-bytes rows Johnny, the rest Emma; codegen, matrix or law: Stella.	Johnny	results/card-s17pyw-w15/RESULT.md
card-s17pyw-w16	s17pyw	deepseek-v4-flash	RESULT: s17pyw-w16 sha=NO-HEAD	FIXED TABLES: cell, rebase, python or pre-read claim against the schema PR or branch at base 7c29513b; hostile-bytes rows Johnny, the rest Emma; codegen, matrix or law: Stella.	Johnny	results/card-s17pyw-w16/RESULT.md
card-s17rb-961	s17rb	qwen/qwen3.7-flash	# RESULT: s17rb-961 sha=N/A	FIXED TABLES: cell, rebase, python or pre-read claim against the schema PR or branch at base 7c29513b; hostile-bytes rows Johnny, the rest Emma; codegen, matrix or law: Stella.	Johnny	results/card-s17rb-961/RESULT.md
card-s17rb-968	s17rb	deepseek-v4-flash	RESULT: s17rb-968 sha=7c29513b0e8f	FIXED TABLES: cell, rebase, python or pre-read claim against the schema PR or branch at base 7c29513b; hostile-bytes rows Johnny, the rest Emma; codegen, matrix or law: Stella.	Johnny	results/card-s17rb-968/RESULT.md
card-s17rb-969	s17rb	deepseek-v4-flash	RESULT: s17rb-969 sha=7c29513b0e8f	FIXED TABLES: cell, rebase, python or pre-read claim against the schema PR or branch at base 7c29513b; hostile-bytes rows Johnny, the rest Emma; codegen, matrix or law: Stella.	Johnny	results/card-s17rb-969/RESULT.md
card-s17rb-971	s17rb	deepseek-v4-flash	RESULT: s17rb-971 sha=7c29513b0e8f	FIXED TABLES: cell, rebase, python or pre-read claim against the schema PR or branch at base 7c29513b; hostile-bytes rows Johnny, the rest Emma; codegen, matrix or law: Stella.	Johnny	results/card-s17rb-971/RESULT.md
card-s17rb-972	s17rb	qwen/qwen3.7-flash	RESULT: s17rb-972 sha=7c29513b0e8f42f457189d1bec23e1de475d4ed8	FIXED TABLES: cell, rebase, python or pre-read claim against the schema PR or branch at base 7c29513b; hostile-bytes rows Johnny, the rest Emma; codegen, matrix or law: Stella.	Johnny	results/card-s17rb-972/RESULT.md
card-spec-release-r2	spec	deepseek-v4-flash	"RESULT spec-release-r2 sha=5298f6be12ea — SPEC-RELEASE.md has no ""Tests this spec demands"" section. Read the spec, say which demanded behaviours the tree alread"	SPEC reading: check three PRESENT and three ABSENT claims against the tree.	Stella	results/card-spec-release-r2/RESULT.md
card-spec-work-c-r2	spec	deepseek/deepseek-v4-flash	"RESULT spec-work-c-r2 sha=5298f6be12ea — SPEC-WORK.md has no ""Tests this spec demands"" section. Read the spec, say which demanded behaviours the tree already te"	SPEC reading: check three PRESENT and three ABSENT claims against the tree.	Stella	results/card-spec-work-c-r2/RESULT.md
card-spec-work-d-r2	spec	deepseek/deepseek-v4-flash	"RESULT spec-work-d-r2 sha=5298f6be12ea — SPEC-WORK.md has no ""Tests this spec demands"" section. Read the spec, say which demanded behaviours the tree already te"	SPEC reading: check three PRESENT and three ABSENT claims against the tree.	Stella	results/card-spec-work-d-r2/RESULT.md
card-spec-work-g	spec	deepseek-v4-flash	"RESULT spec-work-g sha=5298f6be12ea — SPEC-WORK.md has no ""Tests this spec demands"" section. Read the spec, say which demanded behaviours the tree already tests"	SPEC reading: check three PRESENT and three ABSENT claims against the tree.	Stella	results/card-spec-work-g/RESULT.md
card-tools22-dog-nova-board-first-run-r13	tools22-dog	qwen/qwen3.7-flash	RESULT tools22-dog-nova-board-first-run-r13 sha=5298f6be12ea	DOGFOOD: run the documented example yourself on a bench (installed 12119912) and compare with CLEAN/DRIFT/ABSTAIN; an ABSTAIN must name a real reason.	Johnny	results/card-tools22-dog-nova-board-first-run-r13/RESULT.md
