repo	pr	job	opened	queue_s	setup_s	test_s	pr_open_to_green_s
mas-bandwidth/nova-tools	1232	test (3/3)	2026-08-03T12:20:00Z	63	94	399	991
mas-bandwidth/nova-tools	1233	test (1/3)	2026-08-03T13:57:00Z	56	69	823	1077
mas-bandwidth/nova-tools	1233	test (2/3)	2026-08-03T13:57:00Z	65	86	293	1077
mas-bandwidth/nova-tools	1233	test (3/3)	2026-08-03T13:57:00Z	74	103	452	1077
mas-bandwidth/nova-tools	1234	test (1/3)	2026-08-03T15:34:00Z	67	78	876	1163
mas-bandwidth/nova-tools	1234	test (2/3)	2026-08-03T15:34:00Z	76	95	346	1163
mas-bandwidth/nova-tools	1234	test (3/3)	2026-08-03T15:34:00Z	85	112	505	1163
mas-bandwidth/nova-tools	1235	test (1/3)	2026-08-03T17:11:00Z	78	87	240	865
mas-bandwidth/nova-tools	1235	test (2/3)	2026-08-03T17:11:00Z	87	104	399	865
mas-bandwidth/nova-tools	1235	test (3/3)	2026-08-03T17:11:00Z	96	121	558	865
mas-bandwidth/nova-tools	1236	test (1/3)	2026-08-03T18:48:00Z	89	96	293	951
mas-bandwidth/nova-tools	1236	test (2/3)	2026-08-03T18:48:00Z	98	113	452	951
mas-bandwidth/nova-tools	1236	test (3/3)	2026-08-03T18:48:00Z	107	130	611	951
mas-bandwidth/nova-tools	1237	test (1/3)	2026-08-03T20:25:00Z	100	105	346	1037
mas-bandwidth/nova-tools	1237	test (2/3)	2026-08-03T20:25:00Z	109	122	505	1037
mas-bandwidth/nova-tools	1237	test (3/3)	2026-08-03T20:25:00Z	118	139	664	1037
mas-bandwidth/nova-tools	1238	test (1/3)	2026-08-03T22:02:00Z	111	114	399	1123
mas-bandwidth/nova-tools	1238	test (2/3)	2026-08-03T22:02:00Z	120	131	558	1123
mas-bandwidth/nova-tools	1238	test (3/3)	2026-08-03T22:02:00Z	129	148	717	1123
mas-bandwidth/nova-tools	1239	test (1/3)	2026-08-03T23:39:00Z	45	123	452	1132
mas-bandwidth/nova-tools	1239	test (2/3)	2026-08-03T23:39:00Z	54	140	611	1132
mas-bandwidth/nova-tools	1239	test (3/3)	2026-08-03T23:39:00Z	63	157	770	1132
mas-bandwidth/nova-tools	1240	test (1/3)	2026-08-04T01:16:00Z	56	132	505	1153
mas-bandwidth/nova-tools	1240	test (2/3)	2026-08-04T01:16:00Z	65	149	664	1153
mas-bandwidth/nova-tools	1240	test (3/3)	2026-08-04T01:16:00Z	74	166	823	1153
mas-bandwidth/nova-tools	1241	test (1/3)	2026-08-04T02:53:00Z	67	141	558	1239
mas-bandwidth/nova-tools	1241	test (2/3)	2026-08-04T02:53:00Z	76	158	717	1239
mas-bandwidth/nova-tools	1241	test (3/3)	2026-08-04T02:53:00Z	85	175	876	1239
mas-bandwidth/nova-tools	1242	test (1/3)	2026-08-04T04:30:00Z	78	150	611	1140
mas-bandwidth/nova-tools	1242	test (2/3)	2026-08-04T04:30:00Z	87	167	770	1140
mas-bandwidth/nova-tools	1242	test (3/3)	2026-08-04T04:30:00Z	96	184	240	1140
mas-bandwidth/nova-tools	1243	test (1/3)	2026-08-04T06:07:00Z	89	60	664	1127
mas-bandwidth/nova-tools	1243	test (2/3)	2026-08-04T06:07:00Z	98	77	823	1127
mas-bandwidth/nova-tools	1243	test (3/3)	2026-08-04T06:07:00Z	107	94	293	1127
mas-bandwidth/nova-tools	1244	test (1/3)	2026-08-04T07:44:00Z	100	69	717	1213
mas-bandwidth/nova-tools	1244	test (2/3)	2026-08-04T07:44:00Z	109	86	876	1213
mas-bandwidth/nova-tools	1244	test (3/3)	2026-08-04T07:44:00Z	118	103	346	1213
mas-bandwidth/nova-tools	1245	test (1/3)	2026-08-04T09:21:00Z	111	78	770	1049
mas-bandwidth/nova-tools	1245	test (2/3)	2026-08-04T09:21:00Z	120	95	240	1049
mas-bandwidth/nova-tools	1245	test (3/3)	2026-08-04T09:21:00Z	129	112	399	1049
mas-bandwidth/nova-tools	1246	test (1/3)	2026-08-04T10:58:00Z	45	87	823	1058
mas-bandwidth/nova-tools	1246	test (2/3)	2026-08-04T10:58:00Z	54	104	293	1058
mas-bandwidth/nova-tools	1246	test (3/3)	2026-08-04T10:58:00Z	63	121	452	1058
mas-bandwidth/nova-tools	1247	test (1/3)	2026-08-04T12:35:00Z	56	96	876	1144
mas-bandwidth/nova-tools	1247	test (2/3)	2026-08-04T12:35:00Z	65	113	346	1144
mas-bandwidth/nova-tools	1247	test (3/3)	2026-08-04T12:35:00Z	74	130	505	1144
mas-bandwidth/nova-tools	1248	test (1/3)	2026-08-04T14:12:00Z	67	105	240	911
mas-bandwidth/nova-tools	1248	test (2/3)	2026-08-04T14:12:00Z	76	122	399	911
mas-bandwidth/nova-tools	1248	test (3/3)	2026-08-04T14:12:00Z	85	139	558	911
mas-bandwidth/nova-tools	1249	test (1/3)	2026-08-04T15:49:00Z	78	114	293	997
mas-bandwidth/nova-tools	1249	test (2/3)	2026-08-04T15:49:00Z	87	131	452	997
mas-bandwidth/nova-tools	1249	test (3/3)	2026-08-04T15:49:00Z	96	148	611	997
mas-bandwidth/nova-tools	1250	test (1/3)	2026-08-04T17:26:00Z	89	123	346	1018
mas-bandwidth/nova-tools	1250	test (2/3)	2026-08-04T17:26:00Z	98	140	505	1018
mas-bandwidth/nova-tools	1250	test (3/3)	2026-08-04T17:26:00Z	107	157	664	1018
mas-bandwidth/nova-tools	1251	test (1/3)	2026-08-04T19:03:00Z	100	132	399	1104
mas-bandwidth/nova-tools	1251	test (2/3)	2026-08-04T19:03:00Z	109	149	558	1104
mas-bandwidth/nova-tools	1251	test (3/3)	2026-08-04T19:03:00Z	118	166	717	1104
mas-bandwidth/nova-tools	1252	test (1/3)	2026-08-04T20:40:00Z	111	141	452	1190
mas-bandwidth/nova-tools	1252	test (2/3)	2026-08-04T20:40:00Z	120	158	611	1190
mas-bandwidth/nova-tools	1252	test (3/3)	2026-08-04T20:40:00Z	129	175	770	1190
mas-bandwidth/nova-tools	1253	test (1/3)	2026-08-04T22:17:00Z	45	150	505	1199
mas-bandwidth/nova-tools	1253	test (2/3)	2026-08-04T22:17:00Z	54	167	664	1199
mas-bandwidth/nova-tools	1253	test (3/3)	2026-08-04T22:17:00Z	63	184	823	1199
mas-bandwidth/nova-tools	1254	test (1/3)	2026-08-04T23:54:00Z	56	60	558	1186
mas-bandwidth/nova-tools	1254	test (2/3)	2026-08-04T23:54:00Z	65	77	717	1186
mas-bandwidth/nova-tools	1254	test (3/3)	2026-08-04T23:54:00Z	74	94	876	1186
mas-bandwidth/nova-tools	1255	test (1/3)	2026-08-05T01:31:00Z	67	69	611	1022
mas-bandwidth/nova-tools	1255	test (2/3)	2026-08-05T01:31:00Z	76	86	770	1022
mas-bandwidth/nova-tools	1255	test (3/3)	2026-08-05T01:31:00Z	85	103	240	1022
mas-bandwidth/nova-tools	1256	test (1/3)	2026-08-05T03:08:00Z	78	78	664	1108
mas-bandwidth/nova-tools	1256	test (2/3)	2026-08-05T03:08:00Z	87	95	823	1108
mas-bandwidth/nova-tools	1256	test (3/3)	2026-08-05T03:08:00Z	96	112	293	1108
mas-bandwidth/nova-tools	1257	test (1/3)	2026-08-05T04:45:00Z	89	87	717	1194
mas-bandwidth/nova-tools	1257	test (2/3)	2026-08-05T04:45:00Z	98	104	876	1194
mas-bandwidth/nova-tools	1257	test (3/3)	2026-08-05T04:45:00Z	107	121	346	1194
mas-bandwidth/nova-tools	1258	test (1/3)	2026-08-05T06:22:00Z	100	96	770	1095
mas-bandwidth/nova-tools	1258	test (2/3)	2026-08-05T06:22:00Z	109	113	240	1095
mas-bandwidth/nova-tools	1258	test (3/3)	2026-08-05T06:22:00Z	118	130	399	1095
mas-bandwidth/nova-tools	1259	test (1/3)	2026-08-05T07:59:00Z	111	105	823	1181
mas-bandwidth/nova-tools	1259	test (2/3)	2026-08-05T07:59:00Z	120	122	293	1181
mas-bandwidth/nova-tools	1259	test (3/3)	2026-08-05T07:59:00Z	129	139	452	1181
mas-bandwidth/nova-tools	1260	test (1/3)	2026-08-05T09:36:00Z	45	114	876	1125
mas-bandwidth/nova-tools	1260	test (2/3)	2026-08-05T09:36:00Z	54	131	346	1125
mas-bandwidth/nova-tools	1260	test (3/3)	2026-08-05T09:36:00Z	63	148	505	1125
mas-bandwidth/nova-tools	1261	test (1/3)	2026-08-05T11:13:00Z	56	123	240	892
mas-bandwidth/nova-tools	1261	test (2/3)	2026-08-05T11:13:00Z	65	140	399	892
mas-bandwidth/nova-tools	1261	test (3/3)	2026-08-05T11:13:00Z	74	157	558	892
mas-bandwidth/nova-tools	1262	test (1/3)	2026-08-05T12:50:00Z	67	132	293	978
mas-bandwidth/nova-tools	1262	test (2/3)	2026-08-05T12:50:00Z	76	149	452	978
mas-bandwidth/nova-tools	1262	test (3/3)	2026-08-05T12:50:00Z	85	166	611	978
mas-bandwidth/nova-tools	1263	test (1/3)	2026-08-05T14:27:00Z	78	141	346	1064
mas-bandwidth/nova-tools	1263	test (2/3)	2026-08-05T14:27:00Z	87	158	505	1064
mas-bandwidth/nova-tools	1263	test (3/3)	2026-08-05T14:27:00Z	96	175	664	1064
mas-bandwidth/nova-tools	1264	test (1/3)	2026-08-05T16:04:00Z	89	150	399	1150
mas-bandwidth/nova-tools	1264	test (2/3)	2026-08-05T16:04:00Z	98	167	558	1150
mas-bandwidth/nova-tools	1264	test (3/3)	2026-08-05T16:04:00Z	107	184	717	1150
mas-bandwidth/nova-tools	1265	test (1/3)	2026-08-05T17:41:00Z	100	60	452	1072
mas-bandwidth/nova-tools	1265	test (2/3)	2026-08-05T17:41:00Z	109	77	611	1072
mas-bandwidth/nova-tools	1265	test (3/3)	2026-08-05T17:41:00Z	118	94	770	1072
mas-bandwidth/nova-tools	1266	test (1/3)	2026-08-05T19:18:00Z	111	69	505	1158
mas-bandwidth/nova-tools	1266	test (2/3)	2026-08-05T19:18:00Z	120	86	664	1158
mas-bandwidth/nova-tools	1266	test (3/3)	2026-08-05T19:18:00Z	129	103	823	1158
mas-bandwidth/nova-tools	1267	test (1/3)	2026-08-05T20:55:00Z	45	78	558	1167
mas-bandwidth/nova-tools	1267	test (2/3)	2026-08-05T20:55:00Z	54	95	717	1167
mas-bandwidth/nova-tools	1267	test (3/3)	2026-08-05T20:55:00Z	63	112	876	1167
mas-bandwidth/nova-tools	1268	test (1/3)	2026-08-05T22:32:00Z	56	87	611	1068
mas-bandwidth/nova-tools	1268	test (2/3)	2026-08-05T22:32:00Z	65	104	770	1068
mas-bandwidth/nova-tools	1268	test (3/3)	2026-08-05T22:32:00Z	74	121	240	1068
mas-bandwidth/nova-tools	1269	test (1/3)	2026-08-06T00:09:00Z	67	96	664	1154
mas-bandwidth/nova-tools	1269	test (2/3)	2026-08-06T00:09:00Z	76	113	823	1154
mas-bandwidth/nova-tools	1269	test (3/3)	2026-08-06T00:09:00Z	85	130	293	1154
mas-bandwidth/nova-tools	1270	test (1/3)	2026-08-06T01:46:00Z	78	105	717	1175
mas-bandwidth/nova-tools	1270	test (2/3)	2026-08-06T01:46:00Z	87	122	876	1175
mas-bandwidth/nova-tools	1270	test (3/3)	2026-08-06T01:46:00Z	96	139	346	1175
mas-bandwidth/nova-tools	1271	test (1/3)	2026-08-06T03:23:00Z	89	114	770	1076
mas-bandwidth/nova-tools	1271	test (2/3)	2026-08-06T03:23:00Z	98	131	240	1076
mas-bandwidth/nova-tools	1271	test (3/3)	2026-08-06T03:23:00Z	107	148	399	1076
mas-bandwidth/nova-tools	1272	test (1/3)	2026-08-06T05:00:00Z	100	123	823	1162
mas-bandwidth/nova-tools	1272	test (2/3)	2026-08-06T05:00:00Z	109	140	293	1162
mas-bandwidth/nova-tools	1272	test (3/3)	2026-08-06T05:00:00Z	118	157	452	1162
mas-bandwidth/nova-tools	1273	test (1/3)	2026-08-06T06:37:00Z	111	132	876	1248
mas-bandwidth/nova-tools	1273	test (2/3)	2026-08-06T06:37:00Z	120	149	346	1248
mas-bandwidth/nova-tools	1273	test (3/3)	2026-08-06T06:37:00Z	129	166	505	1248
mas-bandwidth/nova-tools	1274	test (1/3)	2026-08-06T08:14:00Z	45	141	240	938
mas-bandwidth/nova-tools	1274	test (2/3)	2026-08-06T08:14:00Z	54	158	399	938
mas-bandwidth/nova-tools	1274	test (3/3)	2026-08-06T08:14:00Z	63	175	558	938
mas-bandwidth/nova-tools	1275	test (1/3)	2026-08-06T09:51:00Z	56	150	293	959
mas-bandwidth/nova-tools	1275	test (2/3)	2026-08-06T09:51:00Z	65	167	452	959
mas-bandwidth/nova-tools	1275	test (3/3)	2026-08-06T09:51:00Z	74	184	611	959
mas-bandwidth/nova-tools	1276	test (1/3)	2026-08-06T11:28:00Z	67	60	346	946
mas-bandwidth/nova-tools	1276	test (2/3)	2026-08-06T11:28:00Z	76	77	505	946
mas-bandwidth/nova-tools	1276	test (3/3)	2026-08-06T11:28:00Z	85	94	664	946
mas-bandwidth/nova-tools	1277	test (1/3)	2026-08-06T13:05:00Z	78	69	399	1032
mas-bandwidth/nova-tools	1277	test (2/3)	2026-08-06T13:05:00Z	87	86	558	1032
mas-bandwidth/nova-tools	1277	test (3/3)	2026-08-06T13:05:00Z	96	103	717	1032
mas-bandwidth/nova-tools	1278	test (1/3)	2026-08-06T14:42:00Z	89	78	452	1118
mas-bandwidth/nova-tools	1278	test (2/3)	2026-08-06T14:42:00Z	98	95	611	1118
mas-bandwidth/nova-tools	1278	test (3/3)	2026-08-06T14:42:00Z	107	112	770	1118
mas-bandwidth/nova-tools	1279	test (1/3)	2026-08-06T16:19:00Z	100	87	505	1204
mas-bandwidth/nova-tools	1279	test (2/3)	2026-08-06T16:19:00Z	109	104	664	1204
mas-bandwidth/nova-tools	1279	test (3/3)	2026-08-06T16:19:00Z	118	121	823	1204
mas-bandwidth/nova-tools	1280	test (1/3)	2026-08-06T17:56:00Z	111	96	558	1225
mas-bandwidth/nova-tools	1280	test (2/3)	2026-08-06T17:56:00Z	120	113	717	1225
mas-bandwidth/nova-tools	1280	test (3/3)	2026-08-06T17:56:00Z	129	130	876	1225
mas-bandwidth/nova-tools	1281	test (1/3)	2026-08-06T19:33:00Z	45	105	611	1049
mas-bandwidth/nova-tools	1281	test (2/3)	2026-08-06T19:33:00Z	54	122	770	1049
mas-bandwidth/nova-tools	1281	test (3/3)	2026-08-06T19:33:00Z	63	139	240	1049
mas-bandwidth/nova-tools	1282	test (1/3)	2026-08-06T21:10:00Z	56	114	664	1135
mas-bandwidth/nova-tools	1282	test (2/3)	2026-08-06T21:10:00Z	65	131	823	1135
mas-bandwidth/nova-tools	1282	test (3/3)	2026-08-06T21:10:00Z	74	148	293	1135
mas-bandwidth/nova-tools	1283	test (1/3)	2026-08-06T22:47:00Z	67	123	717	1221
mas-bandwidth/nova-tools	1283	test (2/3)	2026-08-06T22:47:00Z	76	140	876	1221
mas-bandwidth/nova-tools	1283	test (3/3)	2026-08-06T22:47:00Z	85	157	346	1221
mas-bandwidth/nova-tools	1284	test (1/3)	2026-08-07T00:24:00Z	78	132	770	1122
mas-bandwidth/nova-tools	1284	test (2/3)	2026-08-07T00:24:00Z	87	149	240	1122
mas-bandwidth/nova-tools	1284	test (3/3)	2026-08-07T00:24:00Z	96	166	399	1122
mas-bandwidth/nova-tools	1285	test (1/3)	2026-08-07T02:01:00Z	89	141	823	1143
mas-bandwidth/nova-tools	1285	test (2/3)	2026-08-07T02:01:00Z	98	158	293	1143
mas-bandwidth/nova-tools	1285	test (3/3)	2026-08-07T02:01:00Z	107	175	452	1143
mas-bandwidth/nova-tools	1286	test (1/3)	2026-08-07T03:38:00Z	100	150	876	1229
mas-bandwidth/nova-tools	1286	test (2/3)	2026-08-07T03:38:00Z	109	167	346	1229
mas-bandwidth/nova-tools	1286	test (3/3)	2026-08-07T03:38:00Z	118	184	505	1229
mas-bandwidth/nova-tools	1287	test (1/3)	2026-08-07T05:15:00Z	111	60	240	897
mas-bandwidth/nova-tools	1287	test (2/3)	2026-08-07T05:15:00Z	120	77	399	897
mas-bandwidth/nova-tools	1287	test (3/3)	2026-08-07T05:15:00Z	129	94	558	897
mas-bandwidth/nova-tools	1288	test (1/3)	2026-08-07T06:52:00Z	45	69	293	906
mas-bandwidth/nova-tools	1288	test (2/3)	2026-08-07T06:52:00Z	54	86	452	906
mas-bandwidth/nova-tools	1288	test (3/3)	2026-08-07T06:52:00Z	63	103	611	906
mas-bandwidth/nova-tools	1289	test (1/3)	2026-08-07T08:29:00Z	56	78	346	992
mas-bandwidth/nova-tools	1289	test (2/3)	2026-08-07T08:29:00Z	65	95	505	992
mas-bandwidth/nova-tools	1289	test (3/3)	2026-08-07T08:29:00Z	74	112	664	992
mas-bandwidth/nova-tools	1290	test (1/3)	2026-08-07T10:06:00Z	67	87	399	1013
mas-bandwidth/nova-tools	1290	test (2/3)	2026-08-07T10:06:00Z	76	104	558	1013
mas-bandwidth/nova-tools	1290	test (3/3)	2026-08-07T10:06:00Z	85	121	717	1013
mas-bandwidth/nova-tools	1291	test (1/3)	2026-08-07T11:43:00Z	78	96	452	1099
mas-bandwidth/nova-tools	1291	test (2/3)	2026-08-07T11:43:00Z	87	113	611	1099
mas-bandwidth/nova-tools	1291	test (3/3)	2026-08-07T11:43:00Z	96	130	770	1099
mas-bandwidth/nova-tools	1292	test (1/3)	2026-08-07T13:20:00Z	89	105	505	1185
mas-bandwidth/nova-tools	1292	test (2/3)	2026-08-07T13:20:00Z	98	122	664	1185
mas-bandwidth/nova-tools	1292	test (3/3)	2026-08-07T13:20:00Z	107	139	823	1185
mas-bandwidth/nova-tools	1293	test (1/3)	2026-08-07T14:57:00Z	100	114	558	1271
mas-bandwidth/nova-tools	1293	test (2/3)	2026-08-07T14:57:00Z	109	131	717	1271
mas-bandwidth/nova-tools	1293	test (3/3)	2026-08-07T14:57:00Z	118	148	876	1271
mas-bandwidth/nova-tools	1294	test (1/3)	2026-08-07T16:34:00Z	111	123	611	1172
mas-bandwidth/nova-tools	1294	test (2/3)	2026-08-07T16:34:00Z	120	140	770	1172
mas-bandwidth/nova-tools	1294	test (3/3)	2026-08-07T16:34:00Z	129	157	240	1172
mas-bandwidth/nova-tools	1295	test (1/3)	2026-08-07T18:11:00Z	45	132	664	1116
mas-bandwidth/nova-tools	1295	test (2/3)	2026-08-07T18:11:00Z	54	149	823	1116
mas-bandwidth/nova-tools	1295	test (3/3)	2026-08-07T18:11:00Z	63	166	293	1116
mas-bandwidth/nova-tools	1296	test (1/3)	2026-08-07T19:48:00Z	56	141	717	1202
mas-bandwidth/nova-tools	1296	test (2/3)	2026-08-07T19:48:00Z	65	158	876	1202
mas-bandwidth/nova-tools	1296	test (3/3)	2026-08-07T19:48:00Z	74	175	346	1202
mas-bandwidth/nova-tools	1297	test (1/3)	2026-08-07T21:25:00Z	67	150	770	1103
mas-bandwidth/nova-tools	1297	test (2/3)	2026-08-07T21:25:00Z	76	167	240	1103
mas-bandwidth/nova-tools	1297	test (3/3)	2026-08-07T21:25:00Z	85	184	399	1103
mas-bandwidth/nova-tools	1298	test (1/3)	2026-08-07T23:02:00Z	78	60	823	1090
mas-bandwidth/nova-tools	1298	test (2/3)	2026-08-07T23:02:00Z	87	77	293	1090
mas-bandwidth/nova-tools	1298	test (3/3)	2026-08-07T23:02:00Z	96	94	452	1090
mas-bandwidth/nova-tools	1299	test (1/3)	2026-08-08T00:39:00Z	89	69	876	1176
mas-bandwidth/nova-tools	1299	test (2/3)	2026-08-08T00:39:00Z	98	86	346	1176
mas-bandwidth/nova-tools	1299	test (3/3)	2026-08-08T00:39:00Z	107	103	505	1176
